,Job Title,Company,Location,Status,Date Posted,Date Text,Job Link
78,Senior Operations Data Scientist,Nextdoor,"San Francisco, CA",Not specified,2024-06-17,2 days ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
79,Machine Learning Engineer,Recru,"Houston, TX",Actively Hiring +7 benefits,2024-06-10,1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
80,Entry Level Data Scientist,SynergisticIT,"Las Vegas, NV",Be an early applicant,2024-06-15,4 days ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
81,"Data Scientist - Up to $170,000 + Huge Bonus + Package",Hunter Bond,"Houston, TX",Actively Hiring,2024-06-11,1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
82,Data Scientist,Kforce Inc,"Colorado Springs, CO",Actively Hiring,2024-06-07,1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
83,REMOTE WORK - NEED DATA SCIENTIST,Steneral Consulting,United States,Actively Hiring,2024-06-06,1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
84,Data Scientist,Syntricate Technologies,"Dallas, TX",Actively Hiring,2024-04-24,1 month ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
85,Junior Data Scientist - Remote,SynergisticIT,"Boston, MA",Be an early applicant,2024-06-15,4 days ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
86,Data Scientist,ANSER,"Reston, VA",Be an early applicant,2024-06-10,1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
87,Data Scientist,"640 Acres, LLC","Fort Belvoir, VA",Not specified,2024-04-03,2 months ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
88,Data Scientist,INSPYR Solutions,"Texas, United States",Actively Hiring,2024-05-28,3 weeks ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
89,Data Scientist,Kforce Inc,"Englewood, CO",Actively Hiring,2024-06-12,1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
90,Data Scientist,Whisker,"Auburn Hills, MI",Not specified,2024-06-07,1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
91,Data Scientist (89230BR),Yale University,"New Haven, CT",Actively Hiring,2024-06-13,1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
92,Machine Learning Engineer,DefinedTalent,New York City Metropolitan Area,Medical insurance +3 benefits,2024-06-11,1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
